Protein_names	Gene_names	UniprotID	LFQ_intensity_1_1	LFQ_intensity_1_2	LFQ_intensity_2_1	LFQ_intensity_2_2	LFQ_intensity_20_1	LFQ_intensity_20_2	LFQ_intensity_22_1	LFQ_intensity_22_2	LFQ_intensity_28_1	LFQ_intensity_28_2	LFQ_intensity_29_1	LFQ_intensity_29_2	LFQ_intensity_31_1	LFQ_intensity_31_2	LFQ_intensity_33_1	LFQ_intensity_33_2	LFQ_intensity_36_1	LFQ_intensity_36_2	LFQ_intensity_37_1	LFQ_intensity_37_2	LFQ_intensity_39_1	LFQ_intensity_39_2	LFQ_intensity_4_1	LFQ_intensity_4_2	LFQ_intensity_25_1	LFQ_intensity_25_2	LFQ_intensity_8_1	LFQ_intensity_8_2	LFQ_intensity_9_1	LFQ_intensity_9_2__
Protein lin-7 homolog C	Lin7c	Q792I0	9255.5	0	3791.3	7476	9323.9	14575	6298.9	0	14434	14164	0	20272	20278	12524	9761.7	4126.2	11647	11096	0	13510	0	11097	17012	17770	9295.7	8668.9	8992.8	0	7775.4	9249
Bcl-2-related ovarian killer protein	Bok	Q792S6	0	0	1616	0	0	0	0	0	10574	4296.2	0	0	0	0	0	0	0	0	0	0	0	6833	0	1027.1	0	9387.8	10385	9406.7	0	0
Vacuolar protein sorting-associated protein 4A	Vps4a	Q793F9	97334	311170	166090	296430	54228	18143	41733	33967	870120	79990	57391	56165	309860	62352	25862	30658	87110	63071	67422	90589	16854	0	4222.8	2324	32745	23733	26560	86220	29005	29046
"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed"	Hnrnpf	Q794E4	72698	59274	58453	51325	73454	73782	86500	89819	63136	45796	51083	56244	70399	54775	78258	87625	90075	92309	71461	65863	89805	89535	15418	15675	81992	76109	60816	66666	142260	148070
4F2 cell-surface antigen heavy chain	Slc3a2	Q794F9	0	0	5803.6	8155.8	7258.6	8440.5	16184	23887	22052	18368	19356	15449	11805	5932.4	6156.8	12166	25982	21312	12574	14690	24426	31960	58364	56362	18715	28330	21752	7394.9	21475	26044
Destrin	Dstn	Q7M0E3	233050	631080	193740	239660	178560	162700	359580	414120	186670	207940	131440	168430	183750	178320	197210	228620	280550	299910	228500	214950	277280	282520	10351	16456	285520	306610	410900	425400	76804	109200
Ubiquitin-conjugating enzyme E2 variant 2	Ube2v2	Q7M767	22748	19763	75267	47686	92259	82587	50691	92804	52856	265830	77818	59379	61049	53867	69879	74242	68266	74728	79332	70000	85448	57530	24713	34996	49552	62949	89380	100770	97026	105140
Zinc finger CCCH domain-containing protein 14	Zc3h14	Q7TMD5	0	119910	15358	103250	28178	0	23313	0	231770	11739	31179	21760	144170	152870	18294	15378	17039	40833	19384	12952	5706.1	0	3825.7	28014	4965.3	23520	0	7861.1	29625	16890
Golgi resident protein GCP60	Acbd3	Q7TNY6	0	0	0	0	6037.9	0	10448	8028.3	0	0	0	5237.6	0	0	0	0	14222	12361	0	0	14346	22692	731.52	0	9512.5	7648.7	0	0	0	0
Splicing factor U2AF 26 kDa subunit	U2af1l4	Q7TP17	36831	98965	95252	72964	12661	0	41674	44846	53903	56753	9934.4	7260.1	22420	23883	28500	29881	67153	69039	32165	0	59504	61036	0	2615.8	69084	69751	36909	33723	0	0
PEST proteolytic signal-containing nuclear protein	Pcnp	Q7TP40	6251.3	0	0	0	0	0	0	0	0	0	0	0	0	0	8013.3	10074	0	0	0	0	0	0	6061.8	8218.9	0	0	12610	2702.6	11595	13139
Heterogeneous nuclear ribonucleoprotein Q	Syncrip	Q7TP47	80054	68250	55887	67031	64639	60860	89054	92734	96839	86394	111870	113410	86109	78227	60590	63265	100870	97882	87600	82256	107070	103340	54522	27202	88021	92480	73194	72666	114800	101530
Adipocyte plasma membrane-associated protein	Apmap	Q7TP48	0	0	8545.9	11897	13533	12493	3304.9	3181.9	0	0	15609	12592	0	0	12086	7935	15929	9887	4981.6	4919.5	14204	3491.2	65725	36592	20365	5245.8	5836.3	0	4926.8	6787
Carboxymethylenebutenolidase homolog	Cmbl	Q7TP52	0	0	0	0	0	0	0	0	0	0	6773.8	6936.7	0	0	0	0	0	0	0	0	0	0	33505	12185	0	0	0	0	0	0
Protein FAM65B;Ferritin light chain 1	Fam65b;Ftl1	Q7TP54	55455	181760	194910	194040	33768	30875	151920	153650	56172	61839	11841	10886	81961	79310	120760	120150	71162	69453	22725	20923	21229	21181	77617	80105	61487	60441	52508	53252	10325	12169
Interleukin enhancer-binding factor 2	Ilf2	Q7TP98	6600.9	26282	79643	46032	24540	22777	18916	26213	32216	33885	30336	26079	28112	29211	39777	29907	29186	36288	20484	20542	31354	26590	12967	12930	29350	28249	16872	12232	42493	36999
T-complex protein 1 subunit delta	Cct4	Q7TPB1	63123	146660	42857	68015	85509	87486	70038	82353	71245	76343	87344	98330	77026	75802	122100	97093	66649	62223	86866	77742	87648	81688	86323	84210	71649	64980	64201	61158	170990	184190
Translocon-associated protein subunit alpha	Ssr1	Q7TPJ0	8252.8	0	5913.5	5872.7	17115	10902	0	3566.9	0	0	0	0	0	0	19448	22744	0	6403.7	0	0	7297.1	18652	0	0	0	0	7014.7	0	0	0
Cytochrome b-c1 complex subunit 8	Uqcrq	Q7TQ16	0	0	6023.4	5251.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2421.2	0	0	0	0	0	0	0
Nitrilase homolog 1	Nit1	Q7TQ94-2	0	17227	13456	10690	13738	14340	23341	24309	11468	14138	14416	15699	13325	13027	6627.3	4343.7	29132	28551	16778	20370	23757	25525	13855	15438	23875	30248	18810	18854	0	4619.2
Mitochondrial Rho GTPase 2	Rhot2	Q7TSA0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14031	11459
Kinesin-like protein KIF15	Kif15	Q7TSP2	0	0	159180	100380	0	0	0	0	140610	81047	0	0	27228	65412	0	1969.3	0	0	0	0	0	37506	0	0	0	0	5259.8	0	99738	81780
Serine/threonine-protein kinase MRCK beta	Cdc42bpb	Q7TT49	0	0	4025.3	4180.5	7145.2	6681.1	6943.6	9136.8	5316.8	6200.9	7896.7	12464	8773.8	9718.5	6629.3	6892.1	10875	10198	8913.4	4579.8	10705	11042	5536.9	5354.7	8347	9349.4	6846.3	6546.4	19534	18907
Glia maturation factor gamma	Gmfg	Q80T18	0	0	0	5204.8	4489.5	6134.6	8275.8	9368	0	2240	6017.3	8669.4	10625	0	9923.9	0	6504.4	3865.9	6043.6	0	0	0	0	0	6714	0	6678.8	0	13838	23303
Exportin-1	Xpo1	Q80U96	13615	0	23641	18923	44562	46855	49329	47963	21608	23758	18839	27535	31238	32828	86270	89759	49194	46101	38074	39680	48055	48967	41783	11191	55458	46785	46327	40810	35490	33365
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	Ndufa11	Q80W89	0	0	0	0	8760.7	10442	29117	18823	14539	12837	57710	15897	7753.1	7252.2	8542.2	10227	14402	8496.6	19022	0	17277	15538	0	0	19684	19304	12624	11146	0	0
Protein VAC14 homolog	Vac14	Q80W92	0	0	6919.8	6495.1	7374.8	5381.4	12810	13939	10952	11379	0	1982.4	2643.6	4343.8	6253.3	8777.7	15223	13148	8219.7	9888.9	11361	11985	0	11549	11625	13646	11883	13067	0	33013
Fragile X mental retardation protein 1 homolog	Fmr1	Q80WE1-2	0	0	4637.5	1739.1	5815.8	3935.4	3434.4	4057.7	8421.3	8884	4197.2	2007.4	6318.1	8492	4804.9	4913.9	0	4626.9	2033.7	4589.6	2382.9	4684	4513.1	4113.9	0	3196.5	0	0	29531	23790
WASH complex subunit FAM21	Fam21	Q80X08	10695	0	12816	7104.4	11560	9267.2	12224	15222	15098	14333	12173	3737.1	0	9545.6	7851.4	3364.4	11556	14062	4269.3	4189.3	8328.9	15838	6634.1	5464.3	20342	17428	6426.3	6906	16818	10158
Nicotinamide phosphoribosyltransferase	Nampt	Q80Z29	16217	55434	49771	44623	60330	60887	42412	47017	76347	80946	64238	67613	65363	65693	55393	61321	62425	61124	47385	45218	60483	73106	70543	71720	72416	71649	34400	37587	105690	105770
Protein sel-1 homolog 1	Sel1l	Q80Z70	0	0	0	0	0	0	5445.7	6573.2	0	0	0	0	0	0	1253.1	0	5640.5	7472.1	1812.9	0	8122.7	9703.7	0	0	5601.2	5081.6	0	1479.3	0	699.61
Bone marrow stromal antigen 2	Bst2	Q811A2	17245	0	0	0	10693	11472	0	1398.7	1722.6	0	0	5856.8	0	0	6317.9	5296.6	0	0	0	0	0	0	10778	8968.5	631.91	3344.2	5353.9	3676.5	2856.2	0
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	Plod2	Q811A3-2	6122.4	8209.2	18127	20302	177540	164360	69535	67720	52726	52790	72187	79060	21214	21024	47554	44541	115130	115010	52730	47197	162930	169940	7310	14641	33433	31023	64569	68659	65083	89582
Chloride intracellular channel protein 6	Clic6	Q811Q2	0	0	626.18	493.77	36027	31749	3005	2366.8	0	0	5246.8	2126.4	1688.1	1882.4	70293	70661	5988.3	10433	1640	1897.9	3205.2	1711.3	6599.9	8749.9	728.58	2641	1256.4	1761	105800	120390
Guanine nucleotide-binding protein-like 3	Gnl3	Q811S9	0	5737	0	0	0	0	2876.4	0	4176.7	0	2558.6	2539.8	4157.3	5936.6	0	1304.2	7376.3	3027.5	0	0	0	0	0	0	2195	2207.6	0	0	0	0
ELKS/Rab6-interacting/CAST family member 1	Erc1	Q811U3	0	0	3967.1	0	6091.4	8150.8	7346.2	5828.3	10989	14555	7419.7	6318.6	6122	6307.3	0	0	0	7571.7	5586.8	5286.5	0	5086.3	5517.2	0	4314.3	0	5132.6	0	11248	13123
Lambda-crystallin homolog	Cryl1	Q811X6	75482	125900	103190	108560	30830	32218	226960	226460	226100	230470	244640	237260	173530	160360	81481	68017	197380	198960	212420	221190	258500	270070	52111	63209	264870	259560	216080	227020	29417	3200.3
PC4 and SFRS1-interacting protein	Psip1	Q812D1	15904	8189	7804.5	9520.7	3494.8	3891.5	5999.7	4377.4	0	0	5466.4	8146.3	9050.2	7980.2	9652.5	6696.7	10634	14580	4198.6	8826.9	5265	5200.7	14756	12418	6515.1	4853.5	9008.5	10836	14091	27302
Peptidyl-prolyl cis-trans isomerase-like 3	Ppil3	Q812D3	0	0	0	0	0	0	3457.7	0	0	1076	3682.4	0	0	2164.8	0	0	5366.8	3475.1	1635.8	2375.8	3514.7	3699.9	2717.6	0	0	2329.5	2096.9	0	17889	0
Neuronal membrane glycoprotein M6-a	Gpm6a	Q812E9-2	0	0	0	0	0	0	0	0	0	0	2253.1	1363.4	0	0	0	0	0	0	0	3078.1	0	0	0	0	0	0	2316.2	0	0	0
Sideroflexin-5	Sfxn5	Q8CFD0	0	0	0	0	0	5452.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6275.2	6438.6	0	0	0	0	0	0
Voltage-dependent calcium channel subunit alpha-2/delta-2;Voltage-dependent calcium channel subunit alpha-2-2;Voltage-dependent calcium channel subunit delta-2	Cacna2d2	Q8CFG6	0	0	0	0	10269	15878	15453	15112	0	0	0	7920.3	0	0	0	0	10253	0	14417	0	0	13297	0	0	7569.4	10128	0	0	0	0
Cell division control protein 42 homolog	Cdc42	Q8CFN2	210880	168750	128680	116300	104600	111420	178500	187130	246870	254930	103490	122510	182450	179830	129190	123310	168860	179630	172160	159060	164520	161460	188900	224360	162480	165660	110100	107850	71741	72187
Aflatoxin B1 aldehyde reductase member 2	Akr7a2	Q8CG45	19291	33155	51665	21182	26296	26943	21481	15611	3710.3	0	14813	6566.8	10491	14832	29987	36949	23945	23784	17799	13406	22643	16031	28434	34296	24532	22685	22749	19538	10479	15024
Nicastrin	Ncstn	Q8CGU6	0	0	14734	13343	14994	15137	2200.3	1654.3	0	0	0	0	3478.7	0	31414	32102	780.94	0	4023.2	0	0	0	6891.2	9107.1	8934.5	10114	12177	0	0	0
Insulin-like growth factor 2 mRNA-binding protein 1	Igf2bp1	Q8CGX0	0	0	0	0	37946	34035	0	0	7407.9	6458.9	0	0	0	0	36548	45200	477.2	2530.7	0	0	4798.5	7234.8	0	1399.7	0	0	0	2233.9	70809	48462
WAP four-disulfide core domain protein 2	Wfdc2	Q8CHN3	0	7798	12641	4706.8	0	0	0	0	0	0	0	0	5354.9	5463.8	13213	22838	0	5927	0	0	0	0	3820	4308.3	0	0	0	0	0	0
Sphingosine-1-phosphate lyase 1	Sgpl1	Q8CHN6	5866.3	13796	14141	9527.8	13199	13578	23064	16602	27376	28968	12755	15736	8603.9	10134	16132	14006	32214	32693	16668	17494	27124	26495	34790	19858	35292	30904	11121	12657	18876	17467
Inositol monophosphatase 2	Impa2	Q8CIN7	0	0	9886.1	9669.7	11803	9896	9935	12843	11859	12249	7180.7	8572	13758	11078	7822.2	0	7829.1	2115.3	10185	7561.5	0	6775.4	0	2766.2	5029.3	5507.2	9895	10611	27129	30983
Deleted in malignant brain tumors 1 protein	Dmbt1	Q8CIZ5-4	666.09	541230	388450	399670	1179.7	1176.4	2113.7	2611.8	0	143.58	2907.4	2704.4	20743	18514	0	431.81	895.18	948.47	670.76	0	1037.8	0	13271	1775.9	2022.5	0	203.96	0	4700.6	4344.3
Transcription activator BRG1	Smarca4	Q8K1P7	0	0	1589.6	0	8510.9	7753.3	8175.5	0	0	6716.1	16712	19873	9594.7	10426	6124.6	0	11540	11580	0	11421	18022	16794	0	0	9458.4	11287	3405.5	4230.4	31839	24888
Monocarboxylate transporter 8	Slc16a2	Q8K1P8	0	0	0	0	6407.9	4462.6	13307	16168	0	46220	0	0	11510	13179	0	0	12235	0	21502	17952	0	0	0	0	21460	0	0	0	0	0
Glycylpeptide N-tetradecanoyltransferase 1	Nmt1	Q8K1Q0	0	0	0	9375.4	13180	11011	17028	22705	9847.1	10970	7770.2	2503.6	4960.3	10042	9405.1	6029.3	28617	15628	16416	13933	22615	20665	22191	20690	13255	10790	10174	5393.4	0	2850.8
Protein dpy-30 homolog	Dpy30	Q8K3E7	0	0	0	3954.8	0	0	0	0	0	0	0	0	0	0	16120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein phosphatase 1 regulatory subunit 14B	Ppp1r14b	Q8K3F3	0	0	0	0	8857.8	5594.1	13503	14579	0	0	20906	18575	5144.5	14562	0	0	19570	19111	8551.5	7954.9	11242	7751.3	6531	6902.4	14472	17030	10564	12483	2860.9	9591.8
GTPase IMAP family member 4	Gimap4	Q8K3K9	1290.8	208460	102420	77345	11974	15685	14857	11976	8726.5	0	17899	12306	20313	21115	4605.7	7834	14995	7679.5	20723	21794	12014	17225	17763	25884	10098	11636	15877	12793	4134.2	3663.2
Heat shock factor-binding protein 1	Hsbp1	Q8K3X8	0	0	0	0	0	0	4978.3	4362.4	0	0	0	0	0	0	942.31	0	0	0	0	0	0	6147.5	78480	55156	0	2346.6	0	0	0	1066.2
Zinc finger CCCH-type antiviral protein 1	Zc3hav1	Q8K3Y6	22852	0	32680	32004	53976	53484	42499	36338	16444	49334	126590	128180	89916	89126	36813	44809	58629	67290	154990	154900	34345	34033	14492	15934	26354	26343	32543	33225	5980.4	136480
Dimethylaniline monooxygenase [N-oxide-forming] 5	Fmo5	Q8K4C0	13573	0	8426	6887.8	11558	13467	14067	11748	12323	16099	9558.3	12849	23709	19235	11825	11924	10389	8712.8	17981	16124	9005	10169	19913	18116	10284	11268	9323.5	0	0	0
Aldehyde dehydrogenase family 1 member A3	Aldh1a3	Q8K4D8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4001.3	4029.4	0	0	0	0	0	0
m7GpppX diphosphatase	Dcps	Q8K4F7	35927	27912	30627	31135	23102	23695	23948	25282	22465	24849	23689	27344	61157	63834	28011	27584	27492	27044	21177	15080	30803	24539	60999	62493	25249	27569	19919	18985	24617	10852
O-acetyl-ADP-ribose deacetylase MACROD1	Macrod1	Q8K4G6	0	0	0	0	0	0	0	0	0	0	1694.2	2924.7	5156.8	4623.2	3062.2	0	0	2115.2	2128.4	0	0	0	8680.6	7633.8	0	1725.3	0	0	0	0
E3 ubiquitin-protein ligase CBL-B	Cblb	Q8K4S7	0	0	0	6544.9	0	0	21484	27887	12334	14450	5966.6	6528.7	0	0	0	0	20610	20221	9374.1	3904.6	22670	18059	0	0	18981	20172	5890.1	5908.6	0	0
Sorting nexin-27	Snx27	Q8K4V4-2	0	0	6700.7	7895.8	4459.1	4973.8	0	0	9405.7	5109.8	2748.9	3585.9	6886.1	7478.8	13879	12781	0	8255.2	0	0	0	2251.7	7001.9	5694.2	0	2859.6	521.3	0	21277	15437
Multiple coagulation factor deficiency protein 2 homolog	Mcfd2	Q8K5B3	0	0	0	0	13952	14810	3345.9	6103.7	0	0	6358.8	5249.8	0	0	0	52933	3619	5023.2	3192.5	0	4362	4355.8	0	0	0	3748	0	0	22489	22302
Integrin beta	Itgb3	Q8R2H2	0	0	0	0	0	0	8377.8	10704	0	0	0	0	0	0	3408.3	0	6465.9	4810	0	0	0	0	0	0	17092	14288	0	0	0	0
STAM-binding protein	Stambp	Q8R424	0	0	12519	12434	8915.9	9340.5	6039.7	5424.1	15204	16119	4370.9	5694.3	17789	17645	8181.2	8434.8	4216	3782.4	8800.7	8374.9	6932.5	0	10946	13604	9982.4	8086.9	7907.2	0	4764	6547.4
Monoglyceride lipase	Mgll	Q8R431	0	0	5305	4163.5	0	0	0	0	0	1760.2	0	0	0	0	0	0	3113.9	3057.5	0	0	0	0	0	0	0	0	0	0	0	0
EH domain-containing protein 3	Ehd3	Q8R491	21912	179880	153360	109310	209030	172150	243680	170670	5929	0	237180	258430	136740	234880	110720	117360	268510	195610	106510	182540	178230	124600	43053	40422	187590	40197	14840	0	0	0
ERO1-like protein alpha	Ero1l	Q8R4A1	2233.9	0	1518.4	1193	154180	146670	10052	11578	0	273.26	1759.7	946.87	263.7	1381.1	69289	57398	13950	15818	2188.4	1011.2	1143.5	1312.3	7667.6	4378.4	4700.2	1184.9	1105.5	0	126180	123470
Formin-binding protein 1	Fnbp1	Q8R511-7	0	0	0	0	6103.2	5279.3	33989	33540	7462.1	7194.5	24112	20656	8382.7	8218.6	0	0	9183.6	10058	32914	27808	21887	19823	15440	16066	22439	27975	11263	8972.2	0	0
Leucine-rich repeat-containing protein 15	Lrrc15	Q8R5M3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8733.4	8497	0	0	3736	4217.3	0	0	0	0	0	0	0	0
Protein NDRG2	Ndrg2	Q8VBU2-2	30917	110500	62040	80977	6544.5	5202.7	56418	54200	62903	72464	26066	55168	84166	96418	26222	10096	41513	48228	35775	42856	24947	28267	83572	85380	15974	17261	41241	10848	45162	44588
"HIG1 domain family member 1A, mitochondrial"	Higd1a	Q8VH49	0	0	0	0	9778.2	9940.7	0	0	0	0	0	0	0	0	6577.7	0	0	0	0	0	0	0	2702.9	3750.4	0	0	0	3463.6	51133	38066
"Citrate synthase, mitochondrial"	Cs	Q8VHF5	105890	198430	67597	88669	104880	95029	93023	89520	136550	118310	73303	65372	126950	120740	153810	108620	92814	86665	102390	96323	73000	73091	123340	118080	96324	111700	109490	117520	73319	48025
Acyl-coenzyme A thioesterase 8	Acot8	Q8VHK0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11557	0	0	0	0	0	0	1831.2	10273	17585	0	0	0	9924.9	0	6312.5
Hepatoma-derived growth factor	Hdgf	Q8VHK7	166600	108450	130760	142710	195140	198430	114300	92949	99761	143880	124680	134740	238820	177430	197280	211190	144790	136380	149900	146180	117890	119190	117320	166750	132280	146000	118570	102920	211320	205300
Arsenite methyltransferase	As3mt	Q8VHT6	2481.6	3114.5	6253.8	6840.5	17247	18278	6530.4	5869	0	8134.5	0	1559.5	8858.1	6029.9	18534	19211	7764.3	6394.7	4917.4	0	5054.8	6199.5	0	7636.7	2261.9	7734.3	7912.8	7023.8	16818	19628
Elongator complex protein 1	Ikbkap	Q8VHU4	0	0	0	0	4038.7	2152.7	5985.6	0	0	0	2260	0	0	0	3136.9	2367.6	0	0	3040.5	0	2872.4	4277.8	0	7620.5	0	0	2887.2	0	1522.6	1382.9
"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed"	Hnrnph1	Q8VHV7	139260	248550	197720	162740	81626	80630	124930	123770	80937	50966	64770	64772	63432	79934	142440	145360	168300	166280	89338	87075	190620	160320	21542	45880	184420	157140	99232	98290	67714	55519
Selenium-binding protein 1	Selenbp1	Q8VIF7	118170	89860	77986	58824	27713	26553	35250	33906	16654	23875	35760	42868	100430	87919	41341	44583	37726	32223	39836	40738	41680	39284	235350	242620	44856	44241	26706	30224	1019.3	1443.1
Choline transporter-like protein 1	Slc44a1	Q8VII6-2	11885	0	12964	13197	0	0	11497	11841	4726.2	7777.4	0	0	0	11597	0	0	9797.1	8373.9	3746.4	0	0	0	0	0	5865.2	4104.8	0	0	0	0
Protein O-GlcNAcase	Mgea5	Q8VIJ5	0	0	12439	9610.1	20917	24530	32132	32630	38941	34780	44572	37509	34923	33172	5851.6	10593	24377	24854	34625	32579	33141	36184	20249	22644	17705	14035	8609.2	9421.4	40079	31180
ZW10 interactor	Zwint	Q8VIL3	24114	4333.6	8208.8	0	121330	120320	25286	26412	3424	0	34972	43821	17832	19096	37945	32048	26636	24112	17153	17288	19480	19946	17681	17090	16866	0	21108	14006	159520	178240
"KH domain-containing, RNA-binding, signal transduction-associated protein 1"	Khdrbs1	Q91V33	67781	31777	39206	48389	73534	70803	67199	69579	66515	71152	59514	61030	68840	73232	58581	57629	78749	75665	79800	76580	68258	55119	19118	48918	86780	79132	57437	62419	32757	33656
Protein quaking	Qki	Q91XU1	19596	3433.5	22090	34074	12547	17320	29943	13303	27143	23599	17237	17205	25696	21114	21365	22244	20731	23444	17937	16215	22655	22706	35409	33727	30335	30974	18204	14344	6753.5	5471.9
Phosphatidate cytidylyltransferase 2	Cds2	Q91XU8	0	17318	19171	0	7092.3	8462.2	0	10743	0	0	17863	16660	6863.7	12960	9787.7	8639.1	5089	4979.2	9128.2	0	2129.1	0	31463	33570	3940.2	13129	0	9356.2	0	0
Ubiquitin carboxyl-terminal hydrolase isozyme L3	Uchl3	Q91Y78	47998	25905	47213	46439	25685	49006	20149	30735	32996	35689	18732	17284	42984	28728	10414	19203	24457	29738	20411	30802	11280	21710	78214	83628	34112	44418	45781	27299	74162	57440
Septin-2	37500	Q91Y81	77508	49615	59889	73812	51941	57333	70938	59662	70662	80919	77403	80780	81049	76912	56607	59057	75081	73544	81168	84097	76291	73720	81290	86567	75534	76032	81068	87151	33316	29707
Coronin-1A	Coro1a	Q91ZN1	106450	32447	65897	84485	111650	118510	224050	230790	179400	133760	137980	135910	141520	92983	116270	121550	181370	177720	208410	211640	248010	141030	130180	148540	211550	212690	148180	166270	290320	270900
Vacuole membrane protein 1	Vmp1	Q91ZQ0	0	0	0	0	38936	36170	18341	17642	12562	15182	29940	27303	0	11205	13163	10458	30924	32580	14021	14818	29001	25273	27683	27224	24708	22996	10000	8427.9	83569	77861
"Trimethyllysine dioxygenase, mitochondrial"	Tmlhe	Q91ZW6	0	0	0	0	8011.3	7844.8	19864	15380	10544	14210	8854.2	13431	11609	0	9953.2	6771.2	17302	18855	16482	15480	19515	15524	5986.3	13864	11455	14273	10901	9647.9	22130	25513
Retinoid-inducible serine carboxypeptidase	Scpep1	Q920A6	74957	14155	40876	36387	33849	33974	54069	51819	17003	0	37094	26069	3018.5	14068	12617	16837	48370	42026	25992	13960	48066	40296	40511	38135	48918	60244	40025	37523	26342	27737
Dihydrofolate reductase	Dhfr	Q920D2	3738.3	0	0	0	2330.3	2334.6	0	0	0	0	0	0	0	0	1828.4	2923.3	479.47	0	0	0	0	283.94	181740	180580	0	690.39	0	0	28453	17568
Na(+)/H(+) exchange regulatory cofactor NHE-RF2	Slc9a3r2	Q920G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3241.8	3997.2	0	1743	0	0	0	0	12426	9898.1	0	0	0	1721.9	10579	20146
Thioredoxin-like protein 1	Txnl1	Q920J4	18027	17973	7097.4	17887	71002	76163	37129	37962	33345	54343	41548	40666	60381	60071	58824	51688	37699	38932	49477	43842	42312	49245	94125	83405	30250	31932	32754	36625	40216	43029
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"	Sdha	Q920L2	70281	123240	76709	121330	150190	138470	129200	135530	133410	128930	114720	107890	119200	99780	154060	156690	135140	145590	154480	156100	147630	157910	262120	255900	157970	128460	137300	136670	98667	109370
Adenosine deaminase	Ada	Q920P6	20568	72590	56201	57129	9758.9	8675.5	23802	10839	13083	10366	27315	25592	11039	23293	37240	41818	24500	25240	21464	19885	25849	42527	482510	509100	51894	40771	30323	19297	12513	21876
Cytoglobin	Cygb	Q921A4	33782	85749	81512	96663	88669	79958	75804	89459	48641	47379	56647	55672	205620	193970	36157	34655	81772	77126	40845	34735	80113	86922	12327	10655	63414	60895	38980	49176	3828.1	3759.7
Mitochondrial peptide methionine sulfoxide reductase	Msra	Q923M1	0	0	10669	0	0	0	4085.8	0	3361.5	3430.8	9228.8	10498	7624.8	9638.9	0	2510.3	3119.7	5532.7	3497.1	1306.7	3423.5	3178.3	8744.8	10206	0	1831.2	4401.8	4345.4	9812.9	1815.7
F-box only protein 6	Fbxo6	Q923V4	0	0	7094.2	9192.1	22819	21888	23474	30086	0	0	0	0	0	0	8519.1	6617.3	0	0	0	0	0	0	0	0	32532	0	7763.7	6863.3	0	0
15 kDa selenoprotein	42248	Q923V8	16699	14139	18999	17726	28891	27920	27724	32956	26839	29024	31532	32388	21781	23049	26469	28353	37416	37965	25052	23765	44953	31931	39695	39324	22956	25079	23374	21551	83810	78446
Hepatoma-derived growth factor-related protein 3	Hdgfrp3	Q923W4	47262	93249	85729	98125	886.59	2337.2	10080	4444.6	26602	27541	9592.4	12566	56794	54596	35161	36866	12702	20952	24496	21157	6884.2	9949.1	24759	32780	18153	32087	8601.7	5022.7	0	0
Ectonucleotide pyrophosphatase/phosphodiesterase family member 1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase	Enpp1	Q924C3-2	0	0	10214	7551.9	0	0	8383.9	9189.2	12177	0	0	2473.3	0	11604	3450.5	0	22325	11379	0	0	11228	0	22664	21245	15145	13321	9471.7	8814.1	0	0
FAS-associated factor 1	Faf1	Q924K2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Long-chain-fatty-acid--CoA ligase ACSBG1	Acsbg1	Q924N5	0	0	0	0	0	0	0	0	0	0	9685.5	12609	0	0	3039.6	0	0	0	16584	14618	7879.3	0	41748	37169	0	0	0	0	0	3562.7
1-acyl-sn-glycerol-3-phosphate acyltransferase delta	Agpat4	Q924S1	0	0	14857	12535	9936.9	8429.4	8429.3	10566	17016	18165	0	9492	11867	10237	12305	12821	14251	13602	9772.2	11204	6400.1	9043	0	0	7008.7	6377	0	14168	6836.3	9400.2
"Lon protease homolog, mitochondrial"	Lonp1	Q924S5	14077	41961	19282	29370	55545	55896	29047	25892	28982	32776	27162	25150	33162	37669	46038	52325	26980	25847	30420	29301	25115	22336	106330	92691	24807	21553	30631	29253	73579	64551
Transmembrane protein 176B	Tmem176b	Q925D4	0	0	4244.2	0	920.88	0	0	2690.6	0	0	0	0	0	0	0	0	0	0	8492.3	8323.5	2359.3	0	0	0	0	7552.8	4730.9	4386.7	0	0
RNA-binding protein 3	Rbm3	Q925G0	74813	34106	30241	14936	43039	41507	54724	66665	12333	22497	50687	32598	34052	53073	56164	39226	86992	70812	44491	39212	89558	96975	9329.2	8796.8	99228	106440	72732	65704	3827.7	5634.4
